feature,importance
NumValenceElectrons,0.23476318119308268
HeavyAtomCount,0.1944498963092794
LabuteASA,0.12351063630714185
ExactMolWt,0.08481953858458206
MolWt,0.0785788633831761
Kappa1,0.06409908696941406
NumRotatableBonds,0.049670660934887735
Kappa2,0.037407477746932205
MolLogP,0.03519102808490401
Kappa3,0.0192185015829754
HeteroAtomCount,0.018614587503062597
RotPerHeavyAtom,0.017500779369076968
FractionCSP3,0.014851671517919848
HeteroAtomFraction,0.014365196880242953
CarbonFraction,0.01295889363332209
