mw_bin,rb_bin,current_count,eligible_for_sampling,deficit_to_target,quota_if_add150,quota_if_add200
<100,0-1,23,True,0,0,0
<100,2-4,10,True,2,1,2
<100,5-7,0,True,12,11,12
<100,8-11,0,False,0,0,0
<100,12+,0,False,0,0,0
100-150,0-1,16,True,0,0,0
100-150,2-4,33,True,0,0,0
100-150,5-7,11,True,1,0,1
100-150,8-11,0,True,12,11,12
100-150,12+,0,False,0,0,0
150-200,0-1,10,True,2,1,2
150-200,2-4,8,True,4,3,4
150-200,5-7,18,True,0,0,0
150-200,8-11,16,True,0,0,0
150-200,12+,0,True,12,11,12
200-260,0-1,4,True,8,7,8
200-260,2-4,2,True,10,9,10
200-260,5-7,4,True,8,7,8
200-260,8-11,13,True,0,0,0
200-260,12+,7,True,5,4,5
260-350,0-1,1,True,11,10,11
260-350,2-4,1,True,11,10,11
260-350,5-7,2,True,10,9,10
260-350,8-11,4,True,8,7,8
260-350,12+,9,True,3,2,3
>=350,0-1,1,True,11,10,11
>=350,2-4,0,True,12,11,12
>=350,5-7,0,True,12,10,12
>=350,8-11,0,True,12,10,12
>=350,12+,5,True,7,6,7
